0,35
1,51
2,58
3,46
4,52
5,34
6,46
7,32
8,105
9,33
10,62
11,121
12,91
13,75
14,81
15,98
16,95
17,117
18,135
19,75
20,114
21,59
22,92
23,138
24,91
25,98
26,121
27,101
28,136
29,113
30,82
31,77
32,84
33,79
34,101
35,83
36,157
37,96
38,108
39,129
40,117
41,108
42,157
43,114
44,185
45,138
46,166
47,180
48,108
49,194
50,186
51,178
52,154
53,157
54,170
55,182
56,140
57,153
58,133
59,130
60,176
61,221
62,202
63,191
64,223
65,143
66,144
67,217
68,195
69,159
70,184
71,162
72,186
73,167
74,223
75,214
76,213
77,234
78,255
79,199
80,247
81,255
82,226
83,184
84,266
85,190
86,256
87,228
88,205
89,197
90,203
91,262
92,280
93,229
94,266
95,289
96,231
97,262
98,273
99,296
100,220
