0,35
1,51
2,58
3,46
4,52
5,50
6,59
7,64
8,68
9,68
10,76
11,81
12,83
13,88
14,90
15,95
16,93
17,94
18,97
19,94
20,96
21,97
22,101
23,106
24,104
25,105
26,103
27,101
28,99
29,95
30,91
31,97
32,98
33,100
34,105
35,107
36,111
37,112
38,115
39,123
40,126
41,132
42,140
43,138
44,148
45,150
46,156
47,157
48,156
49,164
50,164
51,161
52,159
53,158
54,155
55,155
56,158
57,163
58,167
59,176
60,179
61,178
62,180
63,181
64,179
65,176
66,177
67,181
68,177
69,179
70,184
71,187
72,195
73,202
74,207
75,212
76,218
77,222
78,220
79,223
80,223
81,225
82,223
83,222
84,223
85,217
86,223
87,225
88,226
89,231
90,241
91,245
92,247
93,249
94,257
95,255
96,231
97,262
98,273
99,296
100,220
