0,35
1,51
2,58
3,46
4,52
5,57
6,61
7,64
8,67
9,71
10,75
11,78
12,81
13,84
14,86
15,88
16,89
17,91
18,93
19,95
20,96
21,98
22,99
23,99
24,99
25,98
26,98
27,97
28,97
29,97
30,98
31,100
32,102
33,104
34,106
35,109
36,112
37,116
38,120
39,124
40,128
41,133
42,137
43,140
44,144
45,148
46,150
47,152
48,154
49,155
50,155
51,155
52,156
53,157
54,159
55,161
56,164
57,167
58,169
59,172
60,173
61,174
62,175
63,175
64,176
65,177
66,178
67,180
68,182
69,186
70,190
71,194
72,198
73,202
74,206
75,209
76,212
77,214
78,216
79,217
80,218
81,219
82,219
83,220
84,221
85,223
86,226
87,229
88,232
89,236
90,240
91,240
92,243
93,247
94,252
95,250
96,231
97,262
98,273
99,296
100,220
